id,limit_balance,sex,education_level,marital_status,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt_1,bill_amt_2,bill_amt_3,bill_amt_4,bill_amt_5,bill_amt_6,pay_amt_1,pay_amt_2,pay_amt_3,pay_amt_4,pay_amt_5,pay_amt_6,default_payment_next_month
27502.0,80000.0,1,6,1,54.0,0.0,0.0,0.0,0.0,0,0,61454.0,61808.0,62290.0,29296.0,26210.0,17643.0,2545.0,2208.0,1336.0,2232.0,542.0,348.0,1
26879.0,200000.0,1,4,1,49.0,0.0,0.0,0.0,0.0,0,0,49221.0,49599.0,50942.0,50146.0,50235.0,48984.0,1689.0,2164.0,2500.0,3480.0,2500.0,3000.0,0
18340.0,20000.0,2,6,2,22.0,0.0,0.0,0.0,0.0,0,0,19568.0,19420.0,15535.0,1434.0,500.0,0.0,4641.0,1019.0,900.0,0.0,1500.0,0.0,1
13692.0,260000.0,2,4,2,33.0,0.0,0.0,0.0,0.0,0,0,18457.0,22815.0,27086.0,27821.0,30767.0,29890.0,5000.0,5000.0,1137.0,5000.0,1085.0,5000.0,0
20405.0,150000.0,1,4,2,32.0,0.0,0.0,0.0,-1.0,0,0,159919.0,68686.0,161192.0,150464.0,143375.0,146411.0,4019.0,146896.0,157436.0,4600.0,4709.0,5600.0,0
3882.0,300000.0,2,4,2,32.0,0.0,0.0,0.0,0.0,0,-1,54053.0,65235.0,64747.0,65150.0,-450.0,700.0,15235.0,1491.0,1303.0,0.0,2000.0,1400.0,0
7227.0,130000.0,1,1,1,45.0,0.0,0.0,0.0,0.0,0,0,58180.0,59134.0,61156.0,62377.0,63832.0,65099.0,2886.0,2908.0,2129.0,2354.0,2366.0,2291.0,0
1379.0,200000.0,1,1,1,58.0,0.0,0.0,0.0,0.0,0,0,192461.0,195970.0,122214.0,124647.0,126921.0,129167.0,7822.0,4417.0,4446.0,4597.0,4677.0,4698.0,0
29477.0,500000.0,1,1,1,39.0,0.0,0.0,0.0,0.0,0,0,133598.0,167378.0,171106.0,174500.0,137406.0,204975.0,54209.0,4607.0,4603.0,5224.0,207440.0,7509.0,0
10643.0,230000.0,1,1,1,48.0,0.0,0.0,0.0,0.0,0,0,160879.0,161797.0,165107.0,105508.0,108101.0,110094.0,7000.0,6607.0,3773.0,4290.0,4164.0,2000.0,0
24994.0,460000.0,1,1,1,49.0,0.0,0.0,0.0,0.0,0,0,293429.0,295998.0,295807.0,291616.0,289529.0,289449.0,13200.0,14000.0,11500.0,10500.0,10500.0,10000.0,0
24321.0,780000.0,1,1,1,48.0,0.0,0.0,0.0,0.0,0,0,171459.0,178587.0,190663.0,195124.0,184872.0,191090.0,10000.0,15004.0,10000.0,8000.0,10028.0,7003.0,0
24381.0,170000.0,1,1,1,34.0,0.0,0.0,0.0,0.0,0,0,53145.0,52131.0,45987.0,35377.0,29141.0,21955.0,2005.0,2000.0,1514.0,1006.0,1000.0,220.0,0
29842.0,320000.0,1,1,1,47.0,0.0,0.0,0.0,0.0,0,0,162701.0,132087.0,120285.0,124565.0,89699.0,62805.0,20000.0,15000.0,10000.0,22500.0,20000.0,20000.0,0
1255.0,290000.0,1,1,1,46.0,0.0,0.0,0.0,0.0,0,0,194301.0,199451.0,198684.0,87700.0,88621.0,53243.0,10744.0,6000.0,1573.0,1629.0,3129.0,105423.0,0
20986.0,500000.0,1,1,1,30.0,0.0,0.0,0.0,0.0,0,0,74797.0,75753.0,78031.0,78946.0,76689.0,77968.0,2800.0,3500.0,2818.0,2743.0,3000.0,10000.0,0
24975.0,240000.0,1,1,1,35.0,0.0,0.0,0.0,0.0,0,0,188964.0,183744.0,168683.0,155064.0,148969.0,148619.0,8000.0,6017.0,6900.0,5250.0,5400.0,6200.0,0
4684.0,340000.0,1,1,1,48.0,0.0,0.0,0.0,0.0,0,0,321046.0,329563.0,335012.0,197797.0,201935.0,140812.0,13690.0,12693.0,6100.0,6300.0,5100.0,5400.0,0
9848.0,360000.0,1,1,1,46.0,0.0,0.0,0.0,0.0,0,0,14591.0,14828.0,14250.0,13780.0,15077.0,14009.0,3005.0,3024.0,4004.0,4008.0,3008.0,2024.0,1
12219.0,380000.0,1,1,1,55.0,0.0,0.0,0.0,0.0,0,0,126880.0,130324.0,152869.0,137442.0,82800.0,42083.0,7000.0,25390.0,10000.0,20000.0,1659.0,1600.0,0
7808.0,180000.0,1,1,1,42.0,0.0,0.0,0.0,0.0,0,0,124064.0,121847.0,82809.0,81755.0,81316.0,81206.0,5087.0,2891.0,3755.0,2941.0,3206.0,2837.0,0
8165.0,290000.0,1,1,1,56.0,0.0,0.0,0.0,0.0,0,0,222000.0,226917.0,415700.0,232732.0,220460.0,224780.0,10013.0,8501.0,15018.0,10001.0,7997.0,7624.0,0
4825.0,200000.0,1,1,1,31.0,0.0,0.0,0.0,0.0,0,0,160292.0,119080.0,113723.0,109447.0,75423.0,22919.0,6036.0,4002.0,4005.0,3002.0,1002.0,1002.0,0
11687.0,240000.0,1,1,1,53.0,0.0,0.0,0.0,0.0,0,0,232943.0,236437.0,133385.0,136654.0,136639.0,123951.0,9700.0,5000.0,5500.0,5500.0,5000.0,5000.0,0
1939.0,290000.0,1,1,1,40.0,0.0,0.0,0.0,0.0,0,0,98441.0,95169.0,93718.0,89712.0,82809.0,76334.0,4000.0,4250.0,5000.0,3241.0,3500.0,7000.0,0
25092.0,300000.0,1,1,1,55.0,0.0,0.0,0.0,0.0,0,0,127480.0,130168.0,134080.0,126996.0,127820.0,130325.0,4810.0,6164.0,6069.0,4425.0,4412.0,4123.0,0
12020.0,180000.0,1,1,1,35.0,0.0,0.0,0.0,0.0,0,0,170128.0,172258.0,138807.0,132806.0,135603.0,137803.0,7187.0,5000.0,4749.0,5141.0,4916.0,4000.0,0
29556.0,100000.0,1,1,1,33.0,0.0,0.0,0.0,0.0,0,0,49415.0,50851.0,49528.0,50604.0,40966.0,40308.0,2284.0,1961.0,2037.0,1434.0,1469.0,1483.0,0
16965.0,200000.0,1,1,1,53.0,0.0,0.0,0.0,0.0,0,0,66012.0,68099.0,70387.0,71929.0,58133.0,40500.0,2500.0,2700.0,2242.0,2093.0,1300.0,0.0,0
966.0,500000.0,1,1,1,36.0,0.0,0.0,0.0,0.0,0,0,294827.0,292920.0,291760.0,288024.0,274632.0,266669.0,20007.0,20026.0,20020.0,10017.0,15024.0,10002.0,0
